class_name,correct,wrong,total,accuracy
backward,63,37,100,0.63
bed,65,35,100,0.65
bird,65,35,100,0.65
cat,61,39,100,0.61
dog,48,52,100,0.48
down,31,69,100,0.31
eight,69,31,100,0.69
five,37,63,100,0.37
follow,43,57,100,0.43
forward,42,58,100,0.42
four,54,46,100,0.54
go,26,74,100,0.26
happy,54,46,100,0.54
house,72,28,100,0.72
learn,34,66,100,0.34
left,45,55,100,0.45
marvin,55,45,100,0.55
nine,44,56,100,0.44
no,35,65,100,0.35
off,56,44,100,0.56
on,44,56,100,0.44
one,22,78,100,0.22
right,39,61,100,0.39
seven,69,31,100,0.69
sheila,77,23,100,0.77
six,79,21,100,0.79
stop,66,34,100,0.66
three,46,54,100,0.46
tree,48,52,100,0.48
two,47,53,100,0.47
up,65,35,100,0.65
visual,50,50,100,0.5
wow,54,46,100,0.54
yes,64,36,100,0.64
zero,45,55,100,0.45
